Report_Number,Account,PO_Number,Location_Info_1,Location_Info_2,Location_Info_3,Location_Info_4,Location_Info_5,Farm_Name,Field_Name,Date_Sampled,Date_Received,Date_Reported,Sample_ID,Bag_ID,Crop_Code,Crop_Name,Lab_Number,N_percent_dm,NO3N_percent_dm,P_percent_dm,K_percent_dm,Ca_percent_dm,Mg_percent_dm,Na_percent_dm,S_percent_dm,Zn_ppm_dm,Mn_ppm_dm,Fe_ppm_dm,Cu_ppm_dm,B_ppm_dm,Mo_ppm_dm,Al_ppm_dm,Cl_ppm_dm,C_percent_dm,CN_ratio,Moisture_percent_wet_weight,Wet_Weight_grams,Dry_Weight_grams
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","1-1","1-1","99",Not Provided,"314503","2.50",,"0.27","1.38","0.47","0.47","0.01","0.15","25","37","190","10","9",,"71",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","1-2","1-2","99",Not Provided,"314504","2.67",,"0.30","1.46","0.49","0.51","0.01","0.15","24","28","144","10","9",,"45",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","1-3","1-3","99",Not Provided,"314505","2.80",,"0.29","1.39","0.46","0.46","0.01","0.17","25","32","124","11","10",,"26",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","2-1","2-1","99",Not Provided,"314506","2.57",,"0.28","1.27","0.69","0.49","0.01","0.16","42","36","117","10","9",,"27",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","2-2","2-2","99",Not Provided,"314507","2.63",,"0.27","1.34","0.62","0.44","0.01","0.15","36","48","107","9","10",,"23",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","2-3","2-3","99",Not Provided,"314508","2.87",,"0.30","1.41","0.59","0.37","0.01","0.19","33","33","94","11","9",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","3-1","3-1","99",Not Provided,"314509","2.56",,"0.31","1.35","0.56","0.41","0.01","0.16","34","31","106","9","9",,"28",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","3-2","3-2","99",Not Provided,"314510","2.80",,"0.36","1.35","0.69","0.47","0.01","0.18","54","37","108","11","11",,"21",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","3-3","3-3","99",Not Provided,"314511","2.56",,"0.36","1.20","0.59","0.43","0.01","0.17","33","33","101","9","10",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","4-1","4-1","99",Not Provided,"314513","3.00",,"0.31","1.51","0.50","0.38","0.01","0.18","26","32","126","11","12",,"25",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","4-2","4-2","99",Not Provided,"314514","2.96",,"0.32","1.56","0.41","0.33","0.01","0.17","24","30","97","10","10",,"10",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","4-3","4-3","99",Not Provided,"314515","2.81",,"0.30","1.32","0.49","0.43","0.01","0.18","25","30","117","12","10",,"23",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","5-1","5-1","99",Not Provided,"314516","1.74",,"0.31","1.27","0.54","0.42","0.01","0.13","21","28","85","7","6",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","5-2","5-2","99",Not Provided,"314517","1.71",,"0.31","1.28","0.52","0.43","0.01","0.13","24","28","85","7","8",,"14",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","5-3","5-3","99",Not Provided,"314519","2.02",,"0.33","1.22","0.59","0.46","0.01","0.15","25","33","139","8","7",,"36",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","6-1","6-1","99",Not Provided,"314520","1.90",,"0.34","1.31","0.49","0.45","0.01","0.14","17","24","187","9","7",,"50",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","6-2","6-2","99",Not Provided,"314522","1.69",,"0.30","1.42","0.38","0.39","0.01","0.12","15","21","134","6","8",,"35",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","6-3","6-3","99",Not Provided,"314523","1.86",,"0.35","1.32","0.44","0.45","0.01","0.13","16","20","170","8","7",,"41",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","7-1","7-1","99",Not Provided,"314524","2.45",,"0.32","1.06","0.72","0.55","0.01","0.18","28","35","120","10","8",,"22",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","7-2","7-2","99",Not Provided,"314525","2.52",,"0.30","1.04","0.56","0.45","0.01","0.18","30","35","104","9","8",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","7-3","7-3","99",Not Provided,"314526","2.37",,"0.27","0.95","0.54","0.44","0.01","0.16","25","33","93","7","7",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","8-1","8-1","99",Not Provided,"314527","2.52",,"0.28","1.16","0.34","0.35","0.01","0.16","18","28","109","8","8",,"21",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","8-2","8-2","99",Not Provided,"314528","2.57",,"0.30","1.36","0.43","0.39","0.01","0.17","21","25","99","10","9",,"16",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","8-3","8-3","99",Not Provided,"314529","2.76",,"0.30","1.30","0.44","0.39","0.01","0.18","21","31","147","10","8",,"30",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","9-1","9-1","99",Not Provided,"314530","2.46",,"0.27","0.90","0.57","0.48","0.01","0.16","25","41","98","8","7",,"17",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","9-2","9-2","99",Not Provided,"314531","2.59",,"0.27","0.99","0.54","0.42","0.01","0.17","27","40","104","8","9",,"16",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","9-3","9-3","99",Not Provided,"314533","2.58",,"0.28","0.94","0.63","0.52","0.01","0.17","27","46","122","9","8",,"24",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","10-1","10-1","99",Not Provided,"314534","2.84",,"0.30","1.11","0.49","0.51","0.01","0.18","21","32","121","10","9",,"25",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","10-2","10-2","99",Not Provided,"314535","2.70",,"0.30","1.19","0.51","0.50","0.01","0.17","20","30","107","10","10",,"17",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","10-3","10-3","99",Not Provided,"314536","2.61",,"0.32","1.24","0.41","0.44","0.01","0.17","21","28","114","11","9",,"21",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","11-1","11-1","99",Not Provided,"314537","2.52",,"0.26","1.00","0.51","0.55","0.01","0.15","24","36","97","9","8",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","11-2","11-2","99",Not Provided,"314539","2.87",,"0.28","1.10","0.54","0.54","0.01","0.17","27","36","110","11","10",,"23",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","11-3","11-3","99",Not Provided,"314540","2.54",,"0.26","0.86","0.52","0.60","0.01","0.15","21","38","138","11","8",,"35",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","12-1","12-1","99",Not Provided,"314541","2.71",,"0.26","1.19","0.58","0.49","0.01","0.18","26","60","99","10","11",,"16",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","12-2","12-2","99",Not Provided,"314543","2.63",,"0.24","0.96","0.67","0.57","0.01","0.17","27","42","92","10","9",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","12-3","12-3","99",Not Provided,"314544","2.77",,"0.26","1.12","0.57","0.53","0.01","0.18","25","40","94","10","9",,"16",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","13-1","13-1","99",Not Provided,"314545","2.53",,"0.29","1.22","0.59","0.46","0.01","0.17","25","40","103","8","11",,"18",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","13-2","13-2","99",Not Provided,"314546","2.58",,"0.28","1.10","0.61","0.49","0.01","0.18","26","35","88","9","9",,"13",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","13-3","13-3","99",Not Provided,"314547","2.81",,"0.32","1.16","0.69","0.57","0.01","0.20","31","46","112","10","11",,"21",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","14-1","14-1","99",Not Provided,"314548","2.84",,"0.29","1.19","0.47","0.45","0.01","0.17","21","29","115","10","9",,"19",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","14-2","14-2","99",Not Provided,"314549","2.56",,"0.32","1.25","0.42","0.46","0.01","0.16","19","28","94","9","10",,"15",,,,,,
F22246-5000,"71218",,Xing Wei,,,CORN LEAVES,22_GANTRY_FIELD_CORN01,CORN LEAVES,22_GANTRY_FIELD_CORN01,"08/24/2022","08/25/2022","09/01/2022","14-3","14-3","99",Not Provided,"314550","2.63",,"0.33","1.25","0.49","0.45","0.01","0.18","23","29","112","11","8",,"16",,,,,,
